index,title,type,release_year,genres,production_countries,imdb_score,imdb_votes
701,Hop,MOVIE,2011,"['comedy', 'fantasy', 'animation', 'family']",['US'],5.4,33734
702,"Crazy, Stupid, Love.",MOVIE,2011,"['romance', 'comedy', 'drama']",['US'],7.4,507878
703,New Girl,SHOW,2011,"['comedy', 'romance']",['US'],7.7,216209
704,Black Mirror,SHOW,2011,"['scifi', 'thriller', 'drama', 'european']",['GB'],8.8,515577
705,Margin Call,MOVIE,2011,"['thriller', 'drama']",['US'],7.1,125883
709,Shameless,SHOW,2011,"['drama', 'comedy']",['US'],8.6,230243
710,Happy Endings,SHOW,2011,"['comedy', 'romance']",['US'],7.8,37778
713,Midnight in Paris,MOVIE,2011,"['fantasy', 'romance', 'comedy']","['US', 'ES']",7.7,413541
715,Top Boy,SHOW,2011,"['drama', 'thriller', 'crime', 'european']",['GB'],8.4,22420
716,Warrior,MOVIE,2011,"['drama', 'action', 'sport']",['US'],8.2,463276
717,Hunter x Hunter,SHOW,2011,"['drama', 'action', 'comedy', 'crime', 'animation', 'documentation', 'family', 'fantasy']",['JP'],9,87857
720,The Girl with the Dragon Tattoo,MOVIE,2011,"['crime', 'thriller', 'drama']","['NO', 'SE', 'US']",7.8,454917
721,Contagion,MOVIE,2011,"['thriller', 'scifi', 'action', 'drama']","['US', 'AE']",6.8,300074
724,Just Go with It,MOVIE,2011,"['romance', 'comedy']",['US'],6.4,239367
726,Sherlock Holmes: A Game of Shadows,MOVIE,2011,"['crime', 'thriller', 'action']","['US', 'GB']",7.4,446531
730,Sucker Punch,MOVIE,2011,"['fantasy', 'thriller', 'action']","['US', 'CA']",6,241111
732,The Borgias,SHOW,2011,"['drama', 'history', 'romance', 'crime']","['CA', 'HU', 'US']",7.9,50556
735,Puella Magi Madoka Magica,SHOW,2011,"['scifi', 'thriller', 'animation', 'drama', 'fantasy']",['JP'],8.3,9055
738,Soul Surfer,MOVIE,2011,"['drama', 'family', 'sport']",['US'],7,49101
740,Final Destination 5,MOVIE,2011,"['horror', 'thriller', 'action', 'fantasy', 'documentation', 'european']",['US'],5.9,114505
741,Puss in Boots,MOVIE,2011,"['comedy', 'animation', 'family', 'fantasy', 'action']",['US'],6.6,156144
743,Teen Mom 2,SHOW,2011,"['reality', 'romance', 'documentation', 'comedy']",['US'],4.5,28
744,Hall Pass,MOVIE,2011,"['romance', 'comedy']",['US'],5.9,125098
748,Unknown,MOVIE,2011,"['action', 'thriller', 'european']","['GB', 'FR', 'DE']",6.8,259696
749,TIGER & BUNNY,SHOW,2011,"['scifi', 'action', 'animation', 'comedy', 'crime']",['JP'],7.3,998
751,Fate/Zero,SHOW,2011,"['scifi', 'action', 'animation', 'drama', 'fantasy', 'thriller']",['JP'],8.2,12568
752,The Rite,MOVIE,2011,"['drama', 'thriller', 'horror']","['US', 'HU', 'IT']",6,96915
753,Blue Exorcist,SHOW,2011,"['scifi', 'horror', 'family', 'animation', 'action', 'drama', 'fantasy']",['JP'],7.5,12741
756,Mean Girls 2,MOVIE,2011,['comedy'],['US'],4.1,23287
757,A Very Harold & Kumar Christmas,MOVIE,2011,"['comedy', 'fantasy', 'romance']",['US'],6.2,69241
758,anohana: The Flower We Saw That Day,SHOW,2011,"['drama', 'fantasy', 'romance', 'animation']",['JP'],8.2,12682
762,Red Riding Hood,MOVIE,2011,"['fantasy', 'thriller', 'horror', 'drama', 'romance']","['CA', 'US']",5.4,111483
763,My Babysitter's a Vampire,SHOW,2011,"['scifi', 'fantasy', 'horror', 'action', 'comedy']","['US', 'CA']",6.9,4367
765,New Year's Eve,MOVIE,2011,"['comedy', 'romance', 'documentation']",['US'],5.6,85658
766,The Smurfs,MOVIE,2011,"['fantasy', 'comedy', 'family', 'animation']",['US'],5.4,89316
767,Jack and Jill,MOVIE,2011,"['comedy', 'horror']",['US'],3.3,83727
768,Everything Must Go,MOVIE,2011,"['comedy', 'drama']",['US'],6.4,50431
771,Wolverine,SHOW,2011,"['action', 'scifi', 'animation']",['JP'],6.2,1458
773,LEGO City,SHOW,2011,"['animation', 'european']",['GB'],5,37
774,Arthur Christmas,MOVIE,2011,"['drama', 'animation', 'family', 'comedy', 'fantasy']","['GB', 'US']",7.1,58296
776,Silenced,MOVIE,2011,['drama'],['KR'],8,15889
782,La Reina del Sur,SHOW,2011,"['drama', 'action', 'crime', 'thriller']",['MX'],8,2445
785,Bully,MOVIE,2011,"['drama', 'documentation']",['US'],7.4,10266
787,Cloudburst,MOVIE,2011,"['romance', 'drama', 'comedy']","['US', 'CA']",7.2,2281
789,A Princess for Christmas,MOVIE,2011,"['comedy', 'family', 'romance', 'drama']",['US'],6.3,8222
791,Zindagi Na Milegi Dobara,MOVIE,2011,"['comedy', 'drama']",['IN'],8.1,75801
797,Undefeated,MOVIE,2011,"['documentation', 'sport']",['US'],7.7,7051
798,Singham,MOVIE,2011,"['drama', 'action', 'crime']",['IN'],6.8,16473
799,Larva,SHOW,2011,"['comedy', 'family', 'animation', 'drama', 'horror', 'thriller']",['KR'],7.1,582
802,Minecraft: Story Mode,SHOW,2011,[],['US'],5.5,300
807,The Great Magician,MOVIE,2011,"['drama', 'comedy', 'romance']","['CN', 'HK']",5.9,1741
808,Robocar Poli,SHOW,2011,"['family', 'fantasy', 'animation', 'comedy']",['KR'],5.8,125
811,Delhi Belly,MOVIE,2011,"['comedy', 'action', 'crime', 'thriller']",['IN'],7.6,29578
812,Naruto Shippuden the Movie: Blood Prison,MOVIE,2011,"['horror', 'thriller', 'animation', 'action', 'fantasy', 'comedy']",['JP'],7.1,5021
814,Little Baby Bum,SHOW,2011,"['animation', 'family', 'music']",['GB'],6.4,94
816,Don't Go Breaking My Heart,MOVIE,2011,"['comedy', 'romance']",['HK'],6.5,1756
817,Pyaar Ka Punchnama,MOVIE,2011,"['romance', 'comedy', 'drama', 'european']",['IN'],7.7,21204
821,Inside West Coast Customs,SHOW,2011,['reality'],['US'],7.4,42
822,Don 2,MOVIE,2011,"['action', 'thriller', 'crime', 'european']","['DE', 'IN']",7.1,52338
823,A Second Chance,MOVIE,2011,"['drama', 'family', 'sport']",['AU'],4.7,1018
825,Jeff Dunham: Controlled Chaos,MOVIE,2011,"['comedy', 'documentation']",['US'],7.4,2272
826,Chillar Party,MOVIE,2011,"['drama', 'comedy', 'family']",['IN'],7.5,7686
827,The Dirty Picture,MOVIE,2011,"['drama', 'comedy']",['IN'],6.6,9522
837,Toll Booth,MOVIE,2011,['drama'],['TR'],6.4,4118
838,An Elf's Story,MOVIE,2011,"['fantasy', 'animation', 'family']",['US'],5.2,504
839,Justin Time,SHOW,2011,"['action', 'animation', 'family', 'comedy']",['CA'],6,16
841,Without Gorky,MOVIE,2011,['documentation'],['US'],6.6,97
842,Bodyguard,MOVIE,2011,"['drama', 'romance', 'action', 'comedy']",['IN'],4.6,25592
843,Shaitan,MOVIE,2011,"['action', 'crime', 'thriller', 'drama']",['IN'],7.3,8414
847,Game,MOVIE,2011,"['thriller', 'drama', 'action', 'crime', 'european']",['IN'],5.2,2316
848,Lavell Crawford: Can a Brother Get Some Love?,MOVIE,2011,"['comedy', 'documentation']",['US'],6.9,230
851,A Beautiful Life,MOVIE,2011,"['drama', 'romance']","['CN', 'HK']",6.7,927
859,No One Killed Jessica,MOVIE,2011,"['crime', 'drama', 'thriller']",['IN'],7.2,11665
861,Ragini MMS,MOVIE,2011,"['horror', 'drama', 'thriller']",['IN'],5.1,2617
862,Tom Papa: Live in New York City,MOVIE,2011,['comedy'],['US'],7.2,490
865,7 Khoon Maaf,MOVIE,2011,"['thriller', 'comedy', 'drama']",['IN'],6.2,5919
866,Asmaa,MOVIE,2011,['drama'],['EG'],8.1,4445
868,The Oath,SHOW,2011,['drama'],['SG'],7.9,9
873,Michael,MOVIE,2011,"['thriller', 'drama']",['IN'],5.3,167
874,Bbuddah Hoga Terra Baap,MOVIE,2011,"['thriller', 'action', 'comedy', 'crime']",['IN'],5.6,2884
875,Shor in the City,MOVIE,2011,"['drama', 'crime']",['IN'],7.2,3708
876,Chhota Bheem & Krishna in Mayanagari,MOVIE,2011,"['animation', 'action', 'fantasy']",['IN'],9,5
878,Stray Bullet,MOVIE,2011,['drama'],['LB'],6.3,363
880,Inborn Pair,SHOW,2011,"['drama', 'comedy']",['TW'],7.1,108
883,Zokkomon,MOVIE,2011,"['scifi', 'fantasy', 'action', 'family']",['IN'],3.9,407
884,Office Girls,SHOW,2011,"['drama', 'comedy', 'romance']",['TW'],6.9,140
896,Masameer,SHOW,2011,"['comedy', 'animation']",['SA'],8.2,677
900,Drunken to Love You,SHOW,2011,"['comedy', 'drama', 'romance']",['TW'],6.5,114
901,Question Mark,MOVIE,2011,['drama'],['ID'],7,254
903,Muran,MOVIE,2011,"['thriller', 'action']",['IN'],6.3,292
904,"Darling, Something's Wrong with Your Head",MOVIE,2011,"['drama', 'romance', 'war', 'european']","['NL', 'US', 'AE', 'PS']",6.7,129
907,Chhota Bheem Master of Shaolin,MOVIE,2011,['animation'],[],6.3,112
908,No Other Woman,MOVIE,2011,"['drama', 'thriller', 'romance']",['PH'],5.9,309
911,My Friend Pinto,MOVIE,2011,"['comedy', 'drama', 'crime']",['IN'],5.3,391
912,The Mirror Boy,MOVIE,2011,"['fantasy', 'drama']",['NG'],4.9,138
913,The Glamorous Imperial Concubine,SHOW,2011,"['drama', 'romance', 'history']",['CN'],7,142
914,Here Comes the Rain,MOVIE,2011,['drama'],['LB'],6.3,63
700,Call the Midwife,SHOW,2012,"['drama', 'history', 'european']",['GB'],8.5,25562
706,Django Unchained,MOVIE,2012,"['western', 'drama']",['US'],8.4,1472668
707,Longmire,SHOW,2012,"['western', 'action', 'crime', 'drama']",['US'],8.3,34362
708,Looper,MOVIE,2012,"['thriller', 'scifi', 'drama', 'crime', 'action']",['US'],7.4,566791
