index,title,type,release_year,genres,production_countries,imdb_score,imdb_votes
1825,Derry Girls,SHOW,2018,['comedy'],['GB'],8.4,28718
1829,Sorry to Bother You,MOVIE,2018,"['fantasy', 'scifi', 'drama', 'comedy']",['US'],6.9,75653
1834,Legacies,SHOW,2018,"['scifi', 'drama', 'fantasy', 'horror']",['US'],7.3,28877
1836,Den of Thieves,MOVIE,2018,"['thriller', 'action', 'crime', 'drama']",['US'],7,107701
1837,All American,SHOW,2018,"['drama', 'sport']",['US'],7.6,9704
1839,Manifest,SHOW,2018,"['scifi', 'drama', 'thriller']",['US'],7.1,50145
1840,Elite,SHOW,2018,"['crime', 'drama', 'thriller']",['ES'],7.4,73062
1841,Cobra Kai,SHOW,2018,"['action', 'comedy', 'drama', 'sport']",['US'],8.6,163858
1842,You,SHOW,2018,"['thriller', 'crime', 'drama', 'romance']",['US'],7.7,225949
1843,Lost in Space,SHOW,2018,"['scifi', 'action', 'drama', 'thriller', 'family']",['US'],7.3,96868
1846,Good Girls,SHOW,2018,"['comedy', 'drama', 'crime']",['US'],7.7,49867
1848,Bodyguard,SHOW,2018,"['war', 'crime', 'drama', 'thriller', 'european']",['GB'],8.1,114446
1850,Altered Carbon,SHOW,2018,"['scifi', 'thriller', 'action', 'drama']",['US'],7.9,162018
1851,Maniac,SHOW,2018,"['drama', 'scifi', 'comedy']",['US'],7.7,74877
1852,Dirty John,SHOW,2018,"['crime', 'drama']",['US'],7.3,20817
1855,Charmed,SHOW,2018,"['scifi', 'drama', 'fantasy']",['US'],4.5,16091
1856,The Haunting of Hill House,SHOW,2018,"['drama', 'scifi', 'horror', 'thriller']",['US'],8.6,226817
1859,The Nightingale,MOVIE,2018,"['thriller', 'drama', 'horror']",['AU'],7.3,28196
1860,Wild Wild Country,SHOW,2018,"['crime', 'documentation']",['US'],8.1,29298
1861,Somebody Feed Phil,SHOW,2018,['documentation'],['US'],8.2,4420
1863,How It Ends,MOVIE,2018,"['thriller', 'action', 'drama', 'scifi']","['CA', 'US']",5,51513
1868,Ghostland,MOVIE,2018,"['horror', 'thriller', 'drama', 'european']","['FR', 'CA']",6.4,30444
1871,The Ballad of Buster Scruggs,MOVIE,2018,"['western', 'comedy', 'drama', 'romance']",['US'],7.3,141528
1875,The Bureau of Magical Things,SHOW,2018,"['scifi', 'family', 'fantasy']",['AU'],6.7,1914
1878,Safe,SHOW,2018,"['drama', 'thriller', 'crime', 'european']",['GB'],7.2,41822
1880,Trolls: The Beat Goes On!,SHOW,2018,"['comedy', 'romance', 'animation', 'family', 'fantasy']",['US'],5.8,798
1881,Collateral,SHOW,2018,"['drama', 'thriller', 'crime']",['GB'],6.7,17304
1885,The Kominsky Method,SHOW,2018,"['drama', 'comedy']",['US'],8.2,38232
1889,Roma,MOVIE,2018,"['drama', 'european']","['MX', 'US']",7.7,153508
1890,Deadwind,SHOW,2018,"['drama', 'thriller', 'crime']",['FI'],7.3,8762
1895,Watership Down,SHOW,2018,"['animation', 'action', 'drama', 'family', 'fantasy']",['GB'],7.2,6043
1897,Chilling Adventures of Sabrina,SHOW,2018,"['scifi', 'thriller', 'drama', 'horror', 'fantasy']",['US'],7.4,90327
1900,Apostle,MOVIE,2018,"['thriller', 'horror', 'drama', 'fantasy']","['US', 'GB']",6.3,51038
1902,The Package,MOVIE,2018,"['comedy', 'drama', 'thriller']",['US'],5.5,17226
1903,Violet Evergarden,SHOW,2018,"['drama', 'animation', 'scifi', 'fantasy', 'romance']",['JP'],8.4,19940
1904,Narcos: Mexico,SHOW,2018,"['drama', 'crime']",['US'],8.4,80902
1905,Mary Magdalene,MOVIE,2018,['drama'],"['GB', 'US', 'AU']",5.9,10234
1906,Disenchantment,SHOW,2018,"['scifi', 'comedy', 'fantasy', 'animation', 'action']",['US'],7.2,58639
1908,Level 16,MOVIE,2018,"['thriller', 'drama', 'scifi', 'european']",['CA'],6,11118
1909,BAKI,SHOW,2018,"['action', 'animation', 'drama', 'sport']",['JP'],6.7,5706
1911,The Cloverfield Paradox,MOVIE,2018,"['thriller', 'horror', 'scifi', 'drama', 'action']",['US'],5.5,102759
1914,Abducted in Plain Sight,MOVIE,2018,"['crime', 'documentation', 'thriller', 'drama']",['US'],6.8,18165
1916,Seven Seconds,SHOW,2018,"['crime', 'drama']",['US'],7.7,15323
1917,The Witch: Part 1. The Subversion,MOVIE,2018,"['fantasy', 'action', 'european']",['KR'],7.1,9862
1919,Devilman Crybaby,SHOW,2018,"['scifi', 'animation', 'action', 'drama', 'fantasy', 'horror']",['JP'],7.6,18575
1920,Calibre,MOVIE,2018,"['thriller', 'horror', 'drama']",['GB'],6.8,27622
1925,Rust Valley Restorers,SHOW,2018,['documentation'],['CA'],7.8,2732
1926,Bird Box,MOVIE,2018,"['thriller', 'drama', 'horror', 'scifi']",['US'],6.6,325194
